Classic,common
Garnet,rare
Merciful,epic
Corsair,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
Classic,common
placeholder,rare
placeholder,epic
placeholder,legendary
