Tracer,no_data,Damage
Reaper,no_data,Damage
Widowmaker,no_data,Damage
Pharah,no_data,Damage
Reinhardt,no_data,Tank
Mercy,no_data,Support
Torbjörn,no_data,Damage
Hanzo,no_data,Damage
Winston,no_data,Tank
Zenyatta,no_data,Support
Bastion,no_data,Damage
Symmetra,no_data,Damage
Zarya,no_data,Tank
Cassidy,no_data,Damage
Soldier:76,no_data,Damage
Lúcio,no_data,Support
Roadhog,no_data,Tank
1Junkrat,no_data,Damage
D.Va,no_data,Tank
Mei,no_data,Damage
Genji,no_data,Damage
Ana,no_data,Support
Sombra,no_data,Damage
Orisa,no_data,Tank
Doomfist,no_data,Tank
Moira,no_data,Support
Brigitte,no_data,Support
WreckingBall,no_data,Tank
Ashe,no_data,Damage
Baptiste,no_data,Support
Sigma,no_data,Tank
Echo,no_data,Damage
